index,length,type,name_cn,name_en,lsb,default,is_valid
B1,1,CONST,同步字0,sync[0],,0x55,1
B2,1,CONST,同步字1,sync[1],,0xAA,1
B3,1,U8,数据段长度,len,,123,1
B4,1,CONST,协议版本,version,,0x11,1
B5,1,U8,类型组,type_group,,0x06,1
B6,1,U8,子类型,sub_type,,0x02,1
B7-8,2,U16,序列号,seq,,,1
B9,1,U8,执行状态,status,,0,1
B10-11,2,U16,产品端错误码,err_code,,0,1
B12,1,U8,DH电源使能回告,power_enable_readback,,,1
B13,1,U8,DH回线使能回告,return_enable_readback,,,1
B14,2,BIT,DH0状态,dh_status.ch0,,,1
B14,2,BIT,DH1状态,dh_status.ch1,,,1
B14,2,BIT,DH2状态,dh_status.ch2,,,1
B14,2,BIT,DH3状态,dh_status.ch3,,,1
B15,2,BIT,DH4状态,dh_status.ch4,,,1
B15,2,BIT,DH5状态,dh_status.ch5,,,1
B15,2,BIT,DH6状态,dh_status.ch6,,,1
B15,2,BIT,DH7状态,dh_status.ch7,,,1
B16,2,BIT,DH8状态,dh_status.ch8,,,1
B16,2,BIT,DH9状态,dh_status.ch9,,,1
B16,2,BIT,DH10状态,dh_status.ch10,,,1
B16,2,BIT,DH11状态,dh_status.ch11,,,1
B17,2,BIT,DH12状态,dh_status.ch12,,,1
B17,2,BIT,DH13状态,dh_status.ch13,,,1
B17,2,BIT,DH14状态,dh_status.ch14,,,1
B17,2,BIT,DH15状态,dh_status.ch15,,,1
B18,2,BIT,DH16状态,dh_status.ch16,,,1
B18,2,BIT,DH17状态,dh_status.ch17,,,1
B18,2,BIT,DH18状态,dh_status.ch18,,,1
B18,2,BIT,DH19状态,dh_status.ch19,,,1
B19,2,BIT,DH20状态,dh_status.ch20,,,1
B19,2,BIT,DH21状态,dh_status.ch21,,,1
B19,2,BIT,DH22状态,dh_status.ch22,,,1
B19,2,BIT,保留位0,dh_status.reserved0,,,1
B20,2,BIT,保留位1,dh_status.reserved1,,,1
B20,2,BIT,保留位2,dh_status.reserved2,,,1
B20,2,BIT,保留位3,dh_status.reserved3,,,1
B20,2,BIT,保留位4,dh_status.reserved4,,,1
B21,2,BIT,保留位5,dh_status.reserved5,,,1
B21,2,BIT,保留位6,dh_status.reserved6,,,1
B21,2,BIT,保留位7,dh_status.reserved7,,,1
B21,2,BIT,保留位8,dh_status.reserved8,,,1
B22-25,4,S32F,DH0遥测电压,telemetry[0],0.001,,1
B26-29,4,S32F,DH1遥测电压,telemetry[1],0.001,,1
B30-33,4,S32F,DH2遥测电压,telemetry[2],0.001,,1
B34-37,4,S32F,DH3遥测电压,telemetry[3],0.001,,1
B38-41,4,S32F,DH4遥测电压,telemetry[4],0.001,,1
B42-45,4,S32F,DH5遥测电压,telemetry[5],0.001,,1
B46-49,4,S32F,DH6遥测电压,telemetry[6],0.001,,1
B50-53,4,S32F,DH7遥测电压,telemetry[7],0.001,,1
B54-57,4,S32F,DH8遥测电压,telemetry[8],0.001,,1
B58-61,4,S32F,DH9遥测电压,telemetry[9],0.001,,1
B62-65,4,S32F,DH10遥测电压,telemetry[10],0.001,,1
B66-69,4,S32F,DH11遥测电压,telemetry[11],0.001,,1
B70-73,4,S32F,DH12遥测电压,telemetry[12],0.001,,1
B74-77,4,S32F,DH13遥测电压,telemetry[13],0.001,,1
B78-81,4,S32F,DH14遥测电压,telemetry[14],0.001,,1
B82-85,4,S32F,DH15遥测电压,telemetry[15],0.001,,1
B86-89,4,S32F,DH16遥测电压,telemetry[16],0.001,,1
B90-93,4,S32F,DH17遥测电压,telemetry[17],0.001,,1
B94-97,4,S32F,DH18遥测电压,telemetry[18],0.001,,1
B98-101,4,S32F,DH19遥测电压,telemetry[19],0.001,,1
B102-105,4,S32F,DH20遥测电压,telemetry[20],0.001,,1
B106-109,4,S32F,DH21遥测电压,telemetry[21],0.001,,1
B110-113,4,S32F,DH22遥测电压,telemetry[22],0.001,,1
B114-126,13,RESERVED,填充,pad,,,1
B127-128,2,U16,CRC16校验,crc,,,1
