index,length,type,name_cn,name_en,lsb,default,is_valid
B1,1,CONST,同步字0,sync[0],,0x55,1
B2,1,CONST,同步字1,sync[1],,0xAA,1
B3,1,U8,数据段长度,len,,123,1
B4,1,CONST,协议版本,version,,0x11,1
B5,1,U8,类型组,type_group,,0x06,1
B6,1,U8,子类型,sub_type,,0x01,1
B7-8,2,U16,序列号,seq,,,1
B9,1,U8,执行状态,status,,0,1
B10-11,2,U16,产品端错误码,err_code,,0,1
B12-13,2,U16,DH0脉宽回告值,pulse_width_readback[0],,,1
B14-15,2,U16,DH1脉宽回告值,pulse_width_readback[1],,,1
B16-17,2,U16,DH2脉宽回告值,pulse_width_readback[2],,,1
B18-19,2,U16,DH3脉宽回告值,pulse_width_readback[3],,,1
B20-21,2,U16,DH4脉宽回告值,pulse_width_readback[4],,,1
B22-23,2,U16,DH5脉宽回告值,pulse_width_readback[5],,,1
B24-25,2,U16,DH6脉宽回告值,pulse_width_readback[6],,,1
B26-27,2,U16,DH7脉宽回告值,pulse_width_readback[7],,,1
B28-29,2,U16,DH8脉宽回告值,pulse_width_readback[8],,,1
B30-31,2,U16,DH9脉宽回告值,pulse_width_readback[9],,,1
B32-33,2,U16,DH10脉宽回告值,pulse_width_readback[10],,,1
B34-35,2,U16,DH11脉宽回告值,pulse_width_readback[11],,,1
B36-37,2,U16,DH12脉宽回告值,pulse_width_readback[12],,,1
B38-39,2,U16,DH13脉宽回告值,pulse_width_readback[13],,,1
B40-41,2,U16,DH14脉宽回告值,pulse_width_readback[14],,,1
B42-43,2,U16,DH15脉宽回告值,pulse_width_readback[15],,,1
B44-45,2,U16,DH16脉宽回告值,pulse_width_readback[16],,,1
B46-47,2,U16,DH17脉宽回告值,pulse_width_readback[17],,,1
B48-49,2,U16,DH18脉宽回告值,pulse_width_readback[18],,,1
B50-51,2,U16,DH19脉宽回告值,pulse_width_readback[19],,,1
B52-53,2,U16,DH20脉宽回告值,pulse_width_readback[20],,,1
B54-55,2,U16,DH21脉宽回告值,pulse_width_readback[21],,,1
B56-57,2,U16,DH22脉宽回告值,pulse_width_readback[22],,,1
B58-126,69,RESERVED,填充,pad,,,1
B127-128,2,U16,CRC16校验,crc,,,1
