index,length,type,name_cn,name_en,lsb,default,is_valid
B1,1,CONST,同步字0,sync[0],,0x55,1
B2,1,CONST,同步字1,sync[1],,0xAA,1
B3,1,U8,数据段长度,len,,48,1
B4,1,CONST,协议版本,version,,0x11,1
B5,1,U8,类型组,type_group,,0x05,1
B6,1,U8,子类型,sub_type,,0x01,1
B7-8,2,U16,序列号,seq,,,1
B9,1,U8,执行状态,status,,0,1
B10-11,2,U16,产品端错误码,err_code,,0,1
B12-13,2,S16F,C组电压,c_volt,0.01,,1
B14-15,2,S16F,B组电压,b_volt,0.01,,1
B16,1,U8,激活判读位,activate_bits,,,1
B17-18,2,S16F,3.3V外部电压,external_vol,0.01,,1
B19-20,2,S16F,K7内核电压,core_vol,0.01,,1
B21-22,2,S16F,K7辅助电压,assist_vol,0.01,,1
B23-24,2,S16F,一次电源28.5V,v28_5,0.01,,1
B25-26,2,S16F,5V_JS电压,js_5V,0.01,,1
B27-28,2,S16F,5V_DYT电压,dyt_5V,0.01,,1
B29-30,2,S16F,24V_SY电压,power_24V,0.01,,1
B31-32,2,S16F,引信检测遥测,value_YX,0.00246337890625,,1
B33-51,19,RESERVED,填充,pad,,,1
B52-53,2,U16,CRC16校验,crc,,,1
