index,length,type,name_cn,name_en,lsb,default,is_valid
B1,1,CONST,同步字0,sync[0],,0x55,1
B2,1,CONST,同步字1,sync[1],,0xAA,1
B3,1,U8,数据段长度,len,,232,1
B4,1,CONST,协议版本,version,,0x11,1
B5,1,U8,类型组,type_group,,0x07,1
B6,1,U8,子类型,sub_type,,0x01,1
B7-8,2,U16,产品帧序列号,seq,,,1
B9,1,U8,执行状态,status,,0,1
B10-11,2,U16,产品端错误码,err_code,,0,1
B12,1,U8,本帧有效样本数,sample_count,,0,1
B13-16,4,U32,首样本DDS时间戳微秒低32位,first_timestamp_us_low,,0,1
B17-20,4,U32,首样本DDS时间戳微秒高32位,first_timestamp_us_high,,0,1
B21-22,2,U16,样本0相对时间微秒,sample[0].delta_us,,0,1
B23-24,2,U16,样本0反馈流水号,sample[0].serial_b,,0,1
B25-26,2,U16,样本0舵控版本,sample[0].version,,0,1
B27-30,4,F32,样本0舵1反馈,sample[0].fdb[0],,0,1
B31-34,4,F32,样本0舵2反馈,sample[0].fdb[1],,0,1
B35-38,4,F32,样本0舵3反馈,sample[0].fdb[2],,0,1
B39-42,4,F32,样本0舵4反馈,sample[0].fdb[3],,0,1
B43,2,BIT,样本0电气自检,sample[0].self_check,,0,1
B43,2,BIT,样本0舵1自检,sample[0].self_check_1,,0,1
B43,2,BIT,样本0舵2自检,sample[0].self_check_2,,0,1
B43,2,BIT,样本0舵3自检,sample[0].self_check_3,,0,1
B44,2,BIT,样本0舵4自检,sample[0].self_check_4,,0,1
B44,2,BIT,样本0舵自检合,sample[0].self_check_combined,,0,1
B44,4,BIT,样本0自检保留位,sample[0].self_check_reserved,,0,1
B45,1,U8,样本0超时标识,sample[0].timeout,,0,1
B46-47,2,U16,样本0指令流水号,sample[0].serial_a,,0,1
B48-51,4,F32,样本0舵1回显指令,sample[0].ins[0],,0,1
B52-55,4,F32,样本0舵2回显指令,sample[0].ins[1],,0,1
B56-59,4,F32,样本0舵3回显指令,sample[0].ins[2],,0,1
B60-63,4,F32,样本0舵4回显指令,sample[0].ins[3],,0,1
B64-65,2,U16,样本1相对时间微秒,sample[1].delta_us,,0,1
B66-67,2,U16,样本1反馈流水号,sample[1].serial_b,,0,1
B68-69,2,U16,样本1舵控版本,sample[1].version,,0,1
B70-73,4,F32,样本1舵1反馈,sample[1].fdb[0],,0,1
B74-77,4,F32,样本1舵2反馈,sample[1].fdb[1],,0,1
B78-81,4,F32,样本1舵3反馈,sample[1].fdb[2],,0,1
B82-85,4,F32,样本1舵4反馈,sample[1].fdb[3],,0,1
B86,2,BIT,样本1电气自检,sample[1].self_check,,0,1
B86,2,BIT,样本1舵1自检,sample[1].self_check_1,,0,1
B86,2,BIT,样本1舵2自检,sample[1].self_check_2,,0,1
B86,2,BIT,样本1舵3自检,sample[1].self_check_3,,0,1
B87,2,BIT,样本1舵4自检,sample[1].self_check_4,,0,1
B87,2,BIT,样本1舵自检合,sample[1].self_check_combined,,0,1
B87,4,BIT,样本1自检保留位,sample[1].self_check_reserved,,0,1
B88,1,U8,样本1超时标识,sample[1].timeout,,0,1
B89-90,2,U16,样本1指令流水号,sample[1].serial_a,,0,1
B91-94,4,F32,样本1舵1回显指令,sample[1].ins[0],,0,1
B95-98,4,F32,样本1舵2回显指令,sample[1].ins[1],,0,1
B99-102,4,F32,样本1舵3回显指令,sample[1].ins[2],,0,1
B103-106,4,F32,样本1舵4回显指令,sample[1].ins[3],,0,1
B107-108,2,U16,样本2相对时间微秒,sample[2].delta_us,,0,1
B109-110,2,U16,样本2反馈流水号,sample[2].serial_b,,0,1
B111-112,2,U16,样本2舵控版本,sample[2].version,,0,1
B113-116,4,F32,样本2舵1反馈,sample[2].fdb[0],,0,1
B117-120,4,F32,样本2舵2反馈,sample[2].fdb[1],,0,1
B121-124,4,F32,样本2舵3反馈,sample[2].fdb[2],,0,1
B125-128,4,F32,样本2舵4反馈,sample[2].fdb[3],,0,1
B129,2,BIT,样本2电气自检,sample[2].self_check,,0,1
B129,2,BIT,样本2舵1自检,sample[2].self_check_1,,0,1
B129,2,BIT,样本2舵2自检,sample[2].self_check_2,,0,1
B129,2,BIT,样本2舵3自检,sample[2].self_check_3,,0,1
B130,2,BIT,样本2舵4自检,sample[2].self_check_4,,0,1
B130,2,BIT,样本2舵自检合,sample[2].self_check_combined,,0,1
B130,4,BIT,样本2自检保留位,sample[2].self_check_reserved,,0,1
B131,1,U8,样本2超时标识,sample[2].timeout,,0,1
B132-133,2,U16,样本2指令流水号,sample[2].serial_a,,0,1
B134-137,4,F32,样本2舵1回显指令,sample[2].ins[0],,0,1
B138-141,4,F32,样本2舵2回显指令,sample[2].ins[1],,0,1
B142-145,4,F32,样本2舵3回显指令,sample[2].ins[2],,0,1
B146-149,4,F32,样本2舵4回显指令,sample[2].ins[3],,0,1
B150-151,2,U16,样本3相对时间微秒,sample[3].delta_us,,0,1
B152-153,2,U16,样本3反馈流水号,sample[3].serial_b,,0,1
B154-155,2,U16,样本3舵控版本,sample[3].version,,0,1
B156-159,4,F32,样本3舵1反馈,sample[3].fdb[0],,0,1
B160-163,4,F32,样本3舵2反馈,sample[3].fdb[1],,0,1
B164-167,4,F32,样本3舵3反馈,sample[3].fdb[2],,0,1
B168-171,4,F32,样本3舵4反馈,sample[3].fdb[3],,0,1
B172,2,BIT,样本3电气自检,sample[3].self_check,,0,1
B172,2,BIT,样本3舵1自检,sample[3].self_check_1,,0,1
B172,2,BIT,样本3舵2自检,sample[3].self_check_2,,0,1
B172,2,BIT,样本3舵3自检,sample[3].self_check_3,,0,1
B173,2,BIT,样本3舵4自检,sample[3].self_check_4,,0,1
B173,2,BIT,样本3舵自检合,sample[3].self_check_combined,,0,1
B173,4,BIT,样本3自检保留位,sample[3].self_check_reserved,,0,1
B174,1,U8,样本3超时标识,sample[3].timeout,,0,1
B175-176,2,U16,样本3指令流水号,sample[3].serial_a,,0,1
B177-180,4,F32,样本3舵1回显指令,sample[3].ins[0],,0,1
B181-184,4,F32,样本3舵2回显指令,sample[3].ins[1],,0,1
B185-188,4,F32,样本3舵3回显指令,sample[3].ins[2],,0,1
B189-192,4,F32,样本3舵4回显指令,sample[3].ins[3],,0,1
B193-194,2,U16,样本4相对时间微秒,sample[4].delta_us,,0,1
B195-196,2,U16,样本4反馈流水号,sample[4].serial_b,,0,1
B197-198,2,U16,样本4舵控版本,sample[4].version,,0,1
B199-202,4,F32,样本4舵1反馈,sample[4].fdb[0],,0,1
B203-206,4,F32,样本4舵2反馈,sample[4].fdb[1],,0,1
B207-210,4,F32,样本4舵3反馈,sample[4].fdb[2],,0,1
B211-214,4,F32,样本4舵4反馈,sample[4].fdb[3],,0,1
B215,2,BIT,样本4电气自检,sample[4].self_check,,0,1
B215,2,BIT,样本4舵1自检,sample[4].self_check_1,,0,1
B215,2,BIT,样本4舵2自检,sample[4].self_check_2,,0,1
B215,2,BIT,样本4舵3自检,sample[4].self_check_3,,0,1
B216,2,BIT,样本4舵4自检,sample[4].self_check_4,,0,1
B216,2,BIT,样本4舵自检合,sample[4].self_check_combined,,0,1
B216,4,BIT,样本4自检保留位,sample[4].self_check_reserved,,0,1
B217,1,U8,样本4超时标识,sample[4].timeout,,0,1
B218-219,2,U16,样本4指令流水号,sample[4].serial_a,,0,1
B220-223,4,F32,样本4舵1回显指令,sample[4].ins[0],,0,1
B224-227,4,F32,样本4舵2回显指令,sample[4].ins[1],,0,1
B228-231,4,F32,样本4舵3回显指令,sample[4].ins[2],,0,1
B232-235,4,F32,样本4舵4回显指令,sample[4].ins[3],,0,1
B236-237,2,U16,CRC16校验,crc,,,1
