index,length,type,name_cn,name_en,lsb,default,is_valid
B1,1,CONST,同步字0,sync[0],,0x55,1
B2,1,CONST,同步字1,sync[1],,0xAA,1
B3,1,U8,数据段长度,len,,48,1
B4,1,CONST,协议版本,version,,0x11,1
B5,1,U8,类型组,type_group,,0x07,1
B6,1,U8,子类型,sub_type,,0x10,1
B7-8,2,U16,序列号,seq,,,1
B9-12,4,U32,波形类型,waveform,,,1
B13-16,4,F32,频率Hz,freq,,0.3,1
B17-20,4,F32,幅值deg,ampl,,30,1
B21-24,4,F32,偏置deg,offset,,0,1
B25-28,4,F32,起始相位,start,,0,1
B29-32,4,F32,扫频上限Hz,max_freq,,0,1
B33-36,4,U32,通道使能位,enable,,1,1
B37-51,15,RESERVED,填充,pad,,,1
B52-53,2,U16,CRC16校验,crc,,,1
