index,length,type,name_cn,name_en,lsb,default,is_valid
B1,1,CONST,同步字0,sync[0],,0x55,1
B2,1,CONST,同步字1,sync[1],,0xAA,1
B3,1,U8,数据段长度,len,,123,1
B4,1,CONST,协议版本,version,,0x11,1
B5,1,U8,类型组,type_group,,0x09,1
B6,1,U8,子类型,sub_type,,0x01,1
B7-8,2,U16,序列号,seq,,,1
B9,1,U8,执行状态,status,,0,1
B10-11,2,U16,产品端错误码,err_code,,0,1
B12-13,2,U16,源序列号,source_seq,,,1
B14-17,4,F32,X轴角增量,delta_angle_x,,,1
B18-21,4,F32,Y轴角增量,delta_angle_y,,,1
B22-25,4,F32,Z轴角增量,delta_angle_z,,,1
B26-29,4,F32,X轴速度增量,delta_velocity_x,,,1
B30-33,4,F32,Y轴速度增量,delta_velocity_y,,,1
B34-37,4,F32,Z轴速度增量,delta_velocity_z,,,1
B38-41,4,F32,X轴角速度,angular_rate_x,,,1
B42-45,4,F32,Y轴角速度,angular_rate_y,,,1
B46-49,4,F32,Z轴角速度,angular_rate_z,,,1
B50-53,4,F32,X轴加速度,acceleration_x,,,1
B54-57,4,F32,Y轴加速度,acceleration_y,,,1
B58-61,4,F32,Z轴加速度,acceleration_z,,,1
B62-63,2,S16F,温度摄氏度,temperature,0.1,,1
B64-65,2,U16,自检状态,self_test_status,,,1
B66,1,U8,工作状态,work_status,,,1
B67-68,2,U16,软件版本原始值,software_version,,,1
B69-70,2,U16,源保留字段,source_reserved,,,1
B71-126,56,RESERVED,填充,pad,,0,1
B127-128,2,U16,CRC16校验,crc,,,1
