index,length,type,name_cn,name_en,lsb,default,is_valid
B1,1,CONST,同步字0,sync[0],,0x55,1
B2,1,CONST,同步字1,sync[1],,0xAA,1
B3,1,U8,数据段长度,len,,48,1
B4,1,CONST,协议版本,version,,0x11,1
B5,1,U8,类型组,type_group,,0x01,1
B6,1,U8,子类型,sub_type,,0x01,1
B7-8,2,U16,序列号,seq,,,1
B9,1,U8,执行状态,status,,0,1
B10-11,2,U16,产品端错误码,err_code,,0,1
B12-15,4,F32,CPU占用率,cpu_usage,,,1
B16-19,4,F32,内存占用率,mem_usage,,,1
B20-23,4,F32,CPU小核频率,cpu_freq_little,,,1
B24-27,4,F32,CPU大核频率,cpu_freq_big,,,1
B28-31,4,F32,PCIe链路速率,pcie_speed,,,1
B32-35,4,F32,PCIe链路宽度,pcie_width,,,1
B36-39,4,F32,网络初始化时间s,net_init_time,,,1
B40-43,4,F32,处理器中心温度,cpu_temp,,,1
B44-45,2,S16F,RK3588温度,rk_temp,1,,1
B46-47,2,S16F,K7温度,k7_temp,1,,1
B48-51,4,U32,累计通电时间s,power_on_sec,,,1
B52-53,2,U16,CRC16校验,crc,,,1
