index,length,type,name_cn,name_en,lsb,default,is_valid
B1,1,CONST,同步字0,sync[0],,0x55,1
B2,1,CONST,同步字1,sync[1],,0xAA,1
B3,1,U8,数据段长度,len,,48,1
B4,1,CONST,协议版本,version,,0x11,1
B5,1,U8,类型组,type_group,,0x08,1
B6,1,U8,子类型,sub_type,,0x01,1
B7-8,2,U16,序列号,seq,,,1
B9,1,U8,执行状态,status,,0,1
B10-11,2,U16,产品端错误码,err_code,,0,1
B12-15,4,U32,抖动桶小于2us,buckets[0],,,1
B16-19,4,U32,抖动桶小于4us,buckets[1],,,1
B20-23,4,U32,抖动桶小于8us,buckets[2],,,1
B24-27,4,U32,抖动桶小于16us,buckets[3],,,1
B28-31,4,U32,抖动桶小于32us,buckets[4],,,1
B32-35,4,U32,抖动桶小于64us,buckets[5],,,1
B36-39,4,U32,抖动桶小于100us,buckets[6],,,1
B40-43,4,U32,抖动桶小于无穷us,buckets[7],,,1
B44-47,4,F32,平均抖动us,avg_jitter,,,1
B48-51,4,F32,最大抖动us,max_jitter,,,1
B52-53,2,U16,CRC16校验,crc,,,1
