ip_core,access,address_raw,address_value,byte_offset,address_scale,name,description,notes,source_workbook,source_sheet,source_row
DH_ctrl,write,0x1,1,4,4,"点火开关指令0（32位,下同）
28V回线使能","低16位有效，高16位无效；
16'hA000：点火开关打开；16'h00A0：点火开关关闭；
开关打开输出1，开关关闭输出0，默认关闭。",高有效模式,DH_ctrl IP核通用型地址分配表（公开）.xlsx,写偏移地址,3
DH_ctrl,write,0x2,2,8,4,点火开关指令1,"低16位有效，高16位无效；
16'hA001：点火开关打开；16'h01A0：点火开关关闭；
开关打开输出1，开关关闭输出0，默认关闭。",高有效模式,DH_ctrl IP核通用型地址分配表（公开）.xlsx,写偏移地址,4
DH_ctrl,write,0x3,3,12,4,点火开关指令2,"低16位有效，高16位无效；
16'hA002：点火开关打开；16'h02A0：点火开关关闭；
开关打开输出1，开关关闭输出0，默认关闭。",高有效模式,DH_ctrl IP核通用型地址分配表（公开）.xlsx,写偏移地址,5
DH_ctrl,write,0x4,4,16,4,点火开关指令3,"低16位有效，高16位无效；
16'hA003：点火开关打开；16'h03A0：点火开关关闭；
开关打开输出1，开关关闭输出0，默认关闭。",高有效模式,DH_ctrl IP核通用型地址分配表（公开）.xlsx,写偏移地址,6
DH_ctrl,write,0x5,5,20,4,点火开关指令4,"低16位有效，高16位无效；
16'hA004：点火开关打开；16'h04A0：点火开关关闭；
开关打开输出1，开关关闭输出0，默认关闭。",高有效模式,DH_ctrl IP核通用型地址分配表（公开）.xlsx,写偏移地址,7
DH_ctrl,write,0x6,6,24,4,点火开关指令5,"低16位有效，高16位无效；
16'hA005：点火开关打开；16'h05A0：点火开关关闭；
开关打开输出1，开关关闭输出0，默认关闭。",高有效模式,DH_ctrl IP核通用型地址分配表（公开）.xlsx,写偏移地址,8
DH_ctrl,write,0x7,7,28,4,点火开关指令6,"低16位有效，高16位无效；
16'hA006：点火开关打开；16'h06A0：点火开关关闭；
开关打开输出1，开关关闭输出0，默认关闭。",高有效模式,DH_ctrl IP核通用型地址分配表（公开）.xlsx,写偏移地址,9
DH_ctrl,write,0x8,8,32,4,点火开关指令7,"低16位有效，高16位无效；
16'hA007：点火开关打开；16'h07A0：点火开关关闭；
开关打开输出1，开关关闭输出0，默认关闭。",高有效模式,DH_ctrl IP核通用型地址分配表（公开）.xlsx,写偏移地址,10
DH_ctrl,write,0x9,9,36,4,点火开关指令8,"低16位有效，高16位无效；
16'hA008：点火开关打开；16'h08A0：点火开关关闭；
开关打开输出0，开关关闭输出1，默认关闭。",低有效模式,DH_ctrl IP核通用型地址分配表（公开）.xlsx,写偏移地址,11
DH_ctrl,write,0xA,10,40,4,点火开关指令9,"低16位有效，高16位无效；
16'hA009：点火开关打开；16'h09A0：点火开关关闭；
开关打开输出0，开关关闭输出1，默认关闭。",低有效模式,DH_ctrl IP核通用型地址分配表（公开）.xlsx,写偏移地址,12
DH_ctrl,write,0xB,11,44,4,点火开关指令10,"低16位有效，高16位无效；
16'hA00A：点火开关打开；16'h0AA0：点火开关关闭；
开关打开输出0，开关关闭输出1，默认关闭。",低有效模式,DH_ctrl IP核通用型地址分配表（公开）.xlsx,写偏移地址,13
DH_ctrl,write,0xC,12,48,4,点火开关指令11,"低16位有效，高16位无效；
16'hA00B：点火开关打开；16'h0BA0：点火开关关闭；
开关打开输出0，开关关闭输出1，默认关闭。",低有效模式,DH_ctrl IP核通用型地址分配表（公开）.xlsx,写偏移地址,14
