ip_core,access,address_raw,address_value,byte_offset,address_scale,name,description,notes,source_workbook,source_sheet,source_row
DIDO_ctrl,write,0x1,1,4,4,"通用DO0接口控制寄存器(32位,下同)（舵锁使能）","低16位有效，高16位无效；
高有效模式；
16'hAAAA：输出高电平；16'hFFFF：输出低电平；写其他无效；
默认输出低电平。",,DIDO_ctrl IP核通用型地址分配表（公开） .xlsx,Sheet1,3
DIDO_ctrl,write,0x2,2,8,4,通用DO1接口控制寄存器（数控衰减器控制）,"低16位有效，高16位无效；
高有效模式；
16'hAAAA：输出高电平；16'hFFFF：输出低电平；写其他无效；
默认输出低电平。",,DIDO_ctrl IP核通用型地址分配表（公开） .xlsx,Sheet1,4
DIDO_ctrl,write,0x3,3,12,4,通用DO2接口控制寄存器（数遥发送使能）,"低16位有效，高16位无效；
高有效模式；
16'hAAAA：输出高电平；16'hFFFF：输出低电平；写其他无效；
默认输出低电平。",,DIDO_ctrl IP核通用型地址分配表（公开） .xlsx,Sheet1,5
DIDO_ctrl,write,0x4,4,16,4,通用DO3接口控制寄存器（24V_EN，上电拉低——使能；给16'hAAAA输出高电平——失能）,"低16位有效，高16位无效；
高有效模式；
16'hAAAA：输出高电平；16'hFFFF：输出低电平；写其他无效；
默认输出低电平。",,DIDO_ctrl IP核通用型地址分配表（公开） .xlsx,Sheet1,6
DIDO_ctrl,write,0x5,5,20,4,通用DO4接口控制寄存器（DYT_5V_EN，上电拉低——使能；给16'hAAAA输出高电平——失能）,"低16位有效，高16位无效；
高有效模式；
16'hAAAA：输出高电平；16'hFFFF：输出低电平；写其他无效；
默认输出低电平。",,DIDO_ctrl IP核通用型地址分配表（公开） .xlsx,Sheet1,7
DIDO_ctrl,write,0x6,6,24,4,通用DO5接口控制寄存器（DI_EN1，无需控制，恒拉低）,"低16位有效，高16位无效；
高有效模式；
16'hAAAA：输出高电平；16'hFFFF：输出低电平；写其他无效；
默认输出低电平。",,DIDO_ctrl IP核通用型地址分配表（公开） .xlsx,Sheet1,8
DIDO_ctrl,write,0x7,7,28,4,通用DO6接口控制寄存器（DO_EN使能，无需控制，上电恒拉低，包括点火、pwm、普通DO口的输出控制）,"低16位有效，高16位无效；
高有效模式；
16'hAAAA：输出高电平；16'hFFFF：输出低电平；写其他无效；
默认输出低电平。",,DIDO_ctrl IP核通用型地址分配表（公开） .xlsx,Sheet1,9
DIDO_ctrl,write,0x8,8,32,4,通用DO7接口控制寄存器,"低16位有效，高16位无效；
高有效模式；
16'hAAAA：输出高电平；16'hFFFF：输出低电平；写其他无效；
默认输出低电平。",,DIDO_ctrl IP核通用型地址分配表（公开） .xlsx,Sheet1,10
DIDO_ctrl,write,0x9,9,36,4,通用DO8接口控制寄存器,"低16位有效，高16位无效；
低有效模式；
16'hAAAA：输出低电平；16'hFFFF：输出高电平；写其他无效；
默认输出高电平。",,DIDO_ctrl IP核通用型地址分配表（公开） .xlsx,Sheet1,11
DIDO_ctrl,write,0xA,10,40,4,通用DO9接口控制寄存器,"低16位有效，高16位无效；
低有效模式；
16'hAAAA：输出低电平；16'hFFFF：输出高电平；写其他无效；
默认输出高电平。",,DIDO_ctrl IP核通用型地址分配表（公开） .xlsx,Sheet1,12
