ip_core,access,address_raw,address_value,byte_offset,address_scale,name,description,notes,source_workbook,source_sheet,source_row
FLASH,write,0x100（32位，下同）,256,256,1,写入flash写RAM数据,32位有效；写数据地址以累加4进行连续操作。,,FLASH IP核通用型地址分配表（公开） .xlsx,Sheet1,3
FLASH,write,0x200,512,512,1,flash命令字,"低8位有效，高24位无效；
8'h06 : 写使能命令；8'h04 : 写禁止命令；8'h01 : 写状态寄存器命令；
8'h05 : 读状态寄存器命令；8'h21 : 扇区擦除命令；8'hDC : 块擦除命令；
8'h60 : 芯片擦除命令；8'h12 : 写数据命令；8'h13 : 读数据命令；",,FLASH IP核通用型地址分配表（公开） .xlsx,Sheet1,4
FLASH,write,0x204,516,516,1,flash读写地址,32位有效。,,FLASH IP核通用型地址分配表（公开） .xlsx,Sheet1,5
FLASH,write,0x208,520,520,1,flash读写字节数量,32位有效，其中高16位为读字节数量，低16位为写字节数量。,,FLASH IP核通用型地址分配表（公开） .xlsx,Sheet1,6
FLASH,write,0x20C,524,524,1,使能flash读写操作,"低8位有效，高24位无效；
写8'hA5，使能flash读写操作，写其他无效。",,FLASH IP核通用型地址分配表（公开） .xlsx,Sheet1,7
FLASH,write,0x210,528,528,1,清除读写操作完成标志,"低1位有效，高31位无效；
写1，清除读写操作完成标志。",,FLASH IP核通用型地址分配表（公开） .xlsx,Sheet1,8
FLASH,write,0x300,768,768,1,flash时钟分频计数,"低8位有效，高24位无效；
默认为16；时钟频率 = 全局时钟频率 / flash时钟分频计数。",,FLASH IP核通用型地址分配表（公开） .xlsx,Sheet1,9
FLASH,read,0x00（32位，下同）,0,0,1,读取flash读RAM数据,32位有效。,,FLASH IP核通用型地址分配表（公开） .xlsx,Sheet1,10
FLASH,read,0x100,256,256,1,读取flash写RAM数据,32位有效，一般不使用。,,FLASH IP核通用型地址分配表（公开） .xlsx,Sheet1,11
FLASH,read,0x200,512,512,1,flash命令字,读取操作flash命令字数据，低8位有效，高24位为0。,,FLASH IP核通用型地址分配表（公开） .xlsx,Sheet1,12
FLASH,read,0x204,516,516,1,flash读写地址,读取操作flash地址数据，32位有效。,,FLASH IP核通用型地址分配表（公开） .xlsx,Sheet1,13
FLASH,read,0x208,520,520,1,flash读写字节数量,读取操作flash读写字节数量，32位有效，其中高16位为读字节数量，低16位为写字节数量。,,FLASH IP核通用型地址分配表（公开） .xlsx,Sheet1,14
FLASH,read,0x20C,524,524,1,flash读写状态,"读取flash读写状态，高15位为0，低6位为0；
D7-D8：读写状态机，00为空闲态，01为写状态，10为读状态；
D8-D14：为0；
D15：写flash使能&&读flash使能，读写操作完成后，应为0；
D16：读写操作完成标志,1为完成。",,FLASH IP核通用型地址分配表（公开） .xlsx,Sheet1,15
FLASH,read,0x300,768,768,1,flash时钟分频计数,"读取flash时钟分频计数，低8位有效，高24位为0；
默认为16。",,FLASH IP核通用型地址分配表（公开） .xlsx,Sheet1,16
