ip_core,access,address_raw,address_value,byte_offset,address_scale,name,description,notes,source_workbook,source_sheet,source_row
XADC,write,0x0,0,0,1,"SRR寄存器(32位,下同)",软件复位，出现异常情况进行整个IP复位，一般上电不需要复位。写 0x0000_000A 复位整个 IP，持续 16 个时钟周期。,,XADC IP核通用型地址分配表（公开） .xlsx,Sheet1,3
XADC,write,0xC,12,12,1,CONVSTR寄存器,"位    名称   复位值   访问   说明
31:18 —     N/A     N/A    未定义。
17:2  TEMP_RD_WAIT_CYCLE_REG 0x03E8 W 温度读取等待周期，默认 1000 个 S_AXI_ACLK 周期。
1     TEMP_BUS_UPDATE 0 W 温度总线更新使能。
0     CONVST 0 W 事件模式下 0→1→0 触发一次转换。",,XADC IP核通用型地址分配表（公开） .xlsx,Sheet1,4
XADC,write,0x10,16,16,1,SYSMONRR寄存器,仅复位 XADC 硬核。写 1 复位，写 0 释放。,,XADC IP核通用型地址分配表（公开） .xlsx,Sheet1,5
XADC,write,0x340,832,832,1,用户温度上限阈值,"高16位为0，低16位有效，其中电压为低16位中的高12位，低4位忽略；
上限阈值最高配置为125°C，计算公式如下。",,XADC IP核通用型地址分配表（公开） .xlsx,Sheet1,6
XADC,write,0x344,836,836,1,VCCINT 上限阈值,"高16位为0，低16位有效，其中电压为低16位中的高12位，低4位忽略；
上限阈值最高配置为1.05V，计算公式如下。",,XADC IP核通用型地址分配表（公开） .xlsx,Sheet1,7
XADC,write,0x348,840,840,1,VCCAUX 上限阈值,"高16位为0，低16位有效，其中电压为低16位中的高12位，低4位忽略；
上限阈值最高配置为1.89V，计算公式如下。",,XADC IP核通用型地址分配表（公开） .xlsx,Sheet1,8
XADC,write,0x34C,844,844,1,过温（OT）上限阈值,"高16位为0，低16位有效，其中电压为低16位中的高12位，低4位必须为0x3，这是硬件对 OT 自动关机逻辑的要求；
上限阈值最高配置为125°C，计算公式如下。",,XADC IP核通用型地址分配表（公开） .xlsx,Sheet1,9
XADC,write,0x350,848,848,1,用户温度下限阈值,"高16位为0，低16位有效，其中电压为低16位中的高12位，低4位忽略；
下限阈值最低配置为-40°C，计算公式如下。",,XADC IP核通用型地址分配表（公开） .xlsx,Sheet1,10
XADC,write,0x354,852,852,1,VCCINT 下限阈值,"高16位为0，低16位有效，其中电压为低16位中的高12位，低4位忽略；
下限阈值最低配置为0V，计算公式如下。",,XADC IP核通用型地址分配表（公开） .xlsx,Sheet1,11
XADC,write,0x358,856,856,1,VCCAUX 下限阈值,"高16位为0，低16位有效，其中电压为低16位中的高12位，低4位忽略；
下限阈值最低配置为0V，计算公式如下。",,XADC IP核通用型地址分配表（公开） .xlsx,Sheet1,12
XADC,write,0x35C,860,860,1,过温（OT）下限阈值,"高16位为0，低16位有效，其中电压为低16位中的高12位，低4位忽略；
下限阈值最低配置为-40°C，计算公式如下。",,XADC IP核通用型地址分配表（公开） .xlsx,Sheet1,13
XADC,read,0x4,4,4,1,状态寄存器,"位    名称       访问   说明
31:11 —          N/A   未定义。
10   JTAGBUSY     R     JTAG DRP 事务进行中。
9    JTAGMODIFIED R     JTAG 已写入 DRP。FPGA 逻辑成功 DRP 读/写后清零。
8    JTAGLOCKED   R     JTAG 锁定 DRP 端口。为1时 FPGA 逻辑 DRP 访问失败。
7    BUSY         R     ADC 转换忙。
6    EOS          R     序列结束。读 SR 清零。
5    EOC          R     转换结束。读 SR 清零。
4:0  CHANNEL[4:0] R     当前转换通道号。",,XADC IP核通用型地址分配表（公开） .xlsx,Sheet1,14
XADC,read,0x8,8,8,1,报警输出状态,"位 名称 说明
8  ALM[7] ALM[6:0] 的逻辑或。
7  ALM[6] Zynq VCCDDRO 报警，不需要。
6  ALM[5] Zynq VCCPAUX 报警，不需要。
5  ALM[4] Zynq VCCPINT 报警，不需要。
4  ALM[3] VBRAM 报警，不需要。
3  ALM[2] VCCAUX 报警，上阈值为1.89V，下阈值为1.75V，正常值为1.80V。
2  ALM[1] VCCINT 报警，上阈值为1.03V，下阈值为0.97V，正常值为1.00V。
1  ALM[0] 用户温度报警，上阈值为85°C，下阈值为70°C。
0  OT     结温过温报警，上阈值为125°C，下阈值为100°C。
超过上阈值，报警相应位为1，低于下阈值自动取消报警为0；存在迟滞现象。",,XADC IP核通用型地址分配表（公开） .xlsx,Sheet1,15
XADC,read,0x200,512,512,1,Temperature寄存器,"片内温度，12位无符号数据；
高16位为0，低16位有效，其中温度为低16位中的高12位，低4位忽略；
公式：温度值 = (ADC_code * 503.975 / 4096)​− 273.15。
LSB = 503.975 / 4096 = 0.123 °C /LSB",,XADC IP核通用型地址分配表（公开） .xlsx,Sheet1,16
XADC,read,0x204,516,516,1,VCCINT寄存器,"片内核心电压，12位无符号数据；
高16位为0，低16位有效，其中电压为低16位中的高12位，低4位忽略；
公式：电压值 = ADC_code * 3.0 / 4096。
分辨率约 0.732 mV/LSB。",,XADC IP核通用型地址分配表（公开） .xlsx,Sheet1,17
XADC,read,0x208,520,520,1,VCCAUX寄存器,"片内辅助电压，12位无符号数据；
高16位为0，低16位有效，其中电压为低16位中的高12位，低4位忽略；
公式：电压值 = ADC_code * 3.0 / 4096。
分辨率约 0.732 mV/LSB。",,XADC IP核通用型地址分配表（公开） .xlsx,Sheet1,18
XADC,read,0x240,576,576,1,VAUXP[0]/VAUXN[0]（外部辅助模拟输入通道 0）5V，运放系数10.09：,"外部电压，12位无符号数据；
高16位为0，低16位有效，其中电压为低16位中的高12位，低4位忽略；
有两种模式：单极性模式，量程为0~1.0V；双极性模式，量程为-0.5V~0.5V；
单极性模式公式：电压值 = （ADC_code * 1.0 / 4096）* 运放系数；
双极性模式公式：电压值 = （（ADC_code * 1.0 / 4096）- 0.5V）* 运放系数；
默认采用单极性模式。",,XADC IP核通用型地址分配表（公开） .xlsx,Sheet1,19
XADC,read,0x244,580,580,1,VAUXP[1]/VAUXN[1]（外部辅助模拟输入通道 1）3.3V，运放系数10.09：,"外部电压，12位无符号数据；
高16位为0，低16位有效，其中电压为低16位中的高12位，低4位忽略；
有两种模式：单极性模式，量程为0~1.0V；双极性模式，量程为-0.5V~0.5V；
单极性模式公式：电压值 = （ADC_code * 1.0 / 4096）* 运放系数；
双极性模式公式：电压值 = （（ADC_code * 1.0 / 4096）- 0.5V）* 运放系数；
默认采用单极性模式。",,XADC IP核通用型地址分配表（公开） .xlsx,Sheet1,20
XADC,read,0x248,584,584,1,VAUXP[2]/VAUXN[2]（外部辅助模拟输入通道 2）24V_SY，运放系数35.09：,"外部电压，12位无符号数据；
高16位为0，低16位有效，其中电压为低16位中的高12位，低4位忽略；
有两种模式：单极性模式，量程为0~1.0V；双极性模式，量程为-0.5V~0.5V；
单极性模式公式：电压值 = （ADC_code * 1.0 / 4096）* 运放系数；
双极性模式公式：电压值 = （（ADC_code * 1.0 / 4096）- 0.5V）* 运放系数；
默认采用单极性模式。",,XADC IP核通用型地址分配表（公开） .xlsx,Sheet1,21
XADC,read,0x24C,588,588,1,VAUXP[3]/VAUXN[3]（外部辅助模拟输入通道 3）,"外部电压，12位无符号数据；
高16位为0，低16位有效，其中电压为低16位中的高12位，低4位忽略；
有两种模式：单极性模式，量程为0~1.0V；双极性模式，量程为-0.5V~0.5V；
单极性模式公式：电压值 = （ADC_code * 1.0 / 4096）* 运放系数；
双极性模式公式：电压值 = （（ADC_code * 1.0 / 4096）- 0.5V）* 运放系数；
默认采用单极性模式。",,XADC IP核通用型地址分配表（公开） .xlsx,Sheet1,22
XADC,read,0x250,592,592,1,VAUXP[4]/VAUXN[4]（外部辅助模拟输入通道 4）,"外部电压，12位无符号数据；
高16位为0，低16位有效，其中电压为低16位中的高12位，低4位忽略；
有两种模式：单极性模式，量程为0~1.0V；双极性模式，量程为-0.5V~0.5V；
单极性模式公式：电压值 = （ADC_code * 1.0 / 4096）* 运放系数；
双极性模式公式：电压值 = （（ADC_code * 1.0 / 4096）- 0.5V）* 运放系数；
默认采用单极性模式。",,XADC IP核通用型地址分配表（公开） .xlsx,Sheet1,23
XADC,read,0x254,596,596,1,VAUXP[5]/VAUXN[5]（外部辅助模拟输入通道 5）,"外部电压，12位无符号数据；
高16位为0，低16位有效，其中电压为低16位中的高12位，低4位忽略；
有两种模式：单极性模式，量程为0~1.0V；双极性模式，量程为-0.5V~0.5V；
单极性模式公式：电压值 = （ADC_code * 1.0 / 4096）* 运放系数；
双极性模式公式：电压值 = （（ADC_code * 1.0 / 4096）- 0.5V）* 运放系数；
默认采用单极性模式。",,XADC IP核通用型地址分配表（公开） .xlsx,Sheet1,24
XADC,read,0x258,600,600,1,VAUXP[6]/VAUXN[6]（外部辅助模拟输入通道 6）,"外部电压，12位无符号数据；
高16位为0，低16位有效，其中电压为低16位中的高12位，低4位忽略；
有两种模式：单极性模式，量程为0~1.0V；双极性模式，量程为-0.5V~0.5V；
单极性模式公式：电压值 = （ADC_code * 1.0 / 4096）* 运放系数；
双极性模式公式：电压值 = （（ADC_code * 1.0 / 4096）- 0.5V）* 运放系数；
默认采用单极性模式。",,XADC IP核通用型地址分配表（公开） .xlsx,Sheet1,25
XADC,read,0x25C,604,604,1,VAUXP[7]/VAUXN[7]（外部辅助模拟输入通道 7）,"外部电压，12位无符号数据；
高16位为0，低16位有效，其中电压为低16位中的高12位，低4位忽略；
有两种模式：单极性模式，量程为0~1.0V；双极性模式，量程为-0.5V~0.5V；
单极性模式公式：电压值 = （ADC_code * 1.0 / 4096）* 运放系数；
双极性模式公式：电压值 = （（ADC_code * 1.0 / 4096）- 0.5V）* 运放系数；
默认采用单极性模式。",,XADC IP核通用型地址分配表（公开） .xlsx,Sheet1,26
XADC,read,0x260,608,608,1,VAUXP[8]/VAUXN[8]（外部辅助模拟输入通道 8）YXJB，运放系数10.09：,"外部电压，12位无符号数据；
高16位为0，低16位有效，其中电压为低16位中的高12位，低4位忽略；
有两种模式：单极性模式，量程为0~1.0V；双极性模式，量程为-0.5V~0.5V；
单极性模式公式：电压值 = （ADC_code * 1.0 / 4096）* 运放系数；
双极性模式公式：电压值 = （（ADC_code * 1.0 / 4096）- 0.5V）* 运放系数；
默认采用单极性模式。",,XADC IP核通用型地址分配表（公开） .xlsx,Sheet1,27
XADC,read,0x264,612,612,1,VAUXP[9]/VAUXN[9]（外部辅助模拟输入通道 9）5V_DYT，运放系数10.09：,"外部电压，12位无符号数据；
高16位为0，低16位有效，其中电压为低16位中的高12位，低4位忽略；
有两种模式：单极性模式，量程为0~1.0V；双极性模式，量程为-0.5V~0.5V；
单极性模式公式：电压值 = （ADC_code * 1.0 / 4096）* 运放系数；
双极性模式公式：电压值 = （（ADC_code * 1.0 / 4096）- 0.5V）* 运放系数；
默认采用单极性模式。",,XADC IP核通用型地址分配表（公开） .xlsx,Sheet1,28
XADC,read,0x268,616,616,1,VAUXP[10]/VAUXN[10]（外部辅助模拟输入通道 10）,"外部电压，12位无符号数据；
高16位为0，低16位有效，其中电压为低16位中的高12位，低4位忽略；
有两种模式：单极性模式，量程为0~1.0V；双极性模式，量程为-0.5V~0.5V；
单极性模式公式：电压值 = （ADC_code * 1.0 / 4096）* 运放系数；
双极性模式公式：电压值 = （（ADC_code * 1.0 / 4096）- 0.5V）* 运放系数；
默认采用单极性模式。",,XADC IP核通用型地址分配表（公开） .xlsx,Sheet1,29
XADC,read,0x26C,620,620,1,VAUXP[11]/VAUXN[11]（外部辅助模拟输入通道 11）,"外部电压，12位无符号数据；
高16位为0，低16位有效，其中电压为低16位中的高12位，低4位忽略；
有两种模式：单极性模式，量程为0~1.0V；双极性模式，量程为-0.5V~0.5V；
单极性模式公式：电压值 = （ADC_code * 1.0 / 4096）* 运放系数；
双极性模式公式：电压值 = （（ADC_code * 1.0 / 4096）- 0.5V）* 运放系数；
默认采用单极性模式。",,XADC IP核通用型地址分配表（公开） .xlsx,Sheet1,30
XADC,read,0x270,624,624,1,VAUXP[12]/VAUXN[12]（外部辅助模拟输入通道 12）,"外部电压，12位无符号数据；
高16位为0，低16位有效，其中电压为低16位中的高12位，低4位忽略；
有两种模式：单极性模式，量程为0~1.0V；双极性模式，量程为-0.5V~0.5V；
单极性模式公式：电压值 = （ADC_code * 1.0 / 4096）* 运放系数；
双极性模式公式：电压值 = （（ADC_code * 1.0 / 4096）- 0.5V）* 运放系数；
默认采用单极性模式。",,XADC IP核通用型地址分配表（公开） .xlsx,Sheet1,31
XADC,read,0x274,628,628,1,VAUXP[13]/VAUXN[13]（外部辅助模拟输入通道 13）,"外部电压，12位无符号数据；
高16位为0，低16位有效，其中电压为低16位中的高12位，低4位忽略；
有两种模式：单极性模式，量程为0~1.0V；双极性模式，量程为-0.5V~0.5V；
单极性模式公式：电压值 = （ADC_code * 1.0 / 4096）* 运放系数；
双极性模式公式：电压值 = （（ADC_code * 1.0 / 4096）- 0.5V）* 运放系数；
默认采用单极性模式。",,XADC IP核通用型地址分配表（公开） .xlsx,Sheet1,32
XADC,read,0x278,632,632,1,VAUXP[14]/VAUXN[14]（外部辅助模拟输入通道 14）,"外部电压，12位无符号数据；
高16位为0，低16位有效，其中电压为低16位中的高12位，低4位忽略；
有两种模式：单极性模式，量程为0~1.0V；双极性模式，量程为-0.5V~0.5V；
单极性模式公式：电压值 = （ADC_code * 1.0 / 4096）* 运放系数；
双极性模式公式：电压值 = （（ADC_code * 1.0 / 4096）- 0.5V）* 运放系数；
默认采用单极性模式。",,XADC IP核通用型地址分配表（公开） .xlsx,Sheet1,33
XADC,read,0x27C,636,636,1,VAUXP[15]/VAUXN[15]（外部辅助模拟输入通道 15）,"外部电压，12位无符号数据；
高16位为0，低16位有效，其中电压为低16位中的高12位，低4位忽略；
有两种模式：单极性模式，量程为0~1.0V；双极性模式，量程为-0.5V~0.5V；
单极性模式公式：电压值 = （ADC_code * 1.0 / 4096）* 运放系数；
双极性模式公式：电压值 = （（ADC_code * 1.0 / 4096）- 0.5V）* 运放系数；
默认采用单极性模式。",,XADC IP核通用型地址分配表（公开） .xlsx,Sheet1,34
XADC,read,0x280,640,640,1,Max Temp,检测到的最大值，并记录，同理为12位无符号数，计算公式如上。,,XADC IP核通用型地址分配表（公开） .xlsx,Sheet1,35
XADC,read,0x284,644,644,1,Max VCCINT,检测到的最大值，并记录，同理为12位无符号数，计算公式如上。,,XADC IP核通用型地址分配表（公开） .xlsx,Sheet1,36
